Beats: ('VEHICLE NON-COMMERCIAL', 'SCHOOL - PUBLIC BUILDING'), Correlation: 1.0
Beats: ('0414', '0331'), Correlation: 0.9997921343168352
Beats: ('0631', '0731'), Correlation: 0.9997910663219717
Beats: ('0834', '0613'), Correlation: 0.9997903851394115
Beats: ('0915', '0613'), Correlation: 0.999789782377723
Beats: ('2532', '1234'), Correlation: 0.9997897687839579
Beats: ('2532', '0513'), Correlation: 0.9997891222103736
Beats: ('2532', '2031'), Correlation: 0.9997877463235866
Beats: ('2532', '0822'), Correlation: 0.9997875737231363
Beats: ('0914', '0632'), Correlation: 0.9997874020122732
Beats: ('0914', '0633'), Correlation: 0.9997863601477386
Beats: ('1433', '0331'), Correlation: 0.9997845695167152
Beats: ('1433', '2413'), Correlation: 0.9997839039475881
Beats: ('0834', '0823'), Correlation: 0.9997825984301648
Beats: ('0915', '0823'), Correlation: 0.9997819845841175
Beats: ('0631', '0925'), Correlation: 0.999780930625687
Beats: ('0822', '0714'), Correlation: 0.9997808866122474
Beats: ('1231', '2023'), Correlation: 0.9997808035568285
Beats: ('0631', '0123'), Correlation: 0.9997806984083222
Beats: ('1012', '1114'), Correlation: 0.9997801004096076
Beats: ('2532', '1213'), Correlation: 0.9997798670596292
Beats: ('0715', '1931'), Correlation: 0.9997789335622407
Beats: ('1012', '0423'), Correlation: 0.9997783875393849
Beats: ('0212', '0734'), Correlation: 0.9997783323311386
Beats: ('1821', '2422'), Correlation: 0.999777108482859
Beats: ('0431', '1512'), Correlation: 0.9997767333540173
Beats: ('0414', '0614'), Correlation: 0.9997767326663742
Beats: ('0822', '1212'), Correlation: 0.999776673172412
Beats: ('0212', '0424'), Correlation: 0.9997763644973159
Beats: ('0631', '0224'), Correlation: 0.9997752544602364
Beats: ('1433', '0633'), Correlation: 0.9997735918745947
Beats: ('2532', '1013'), Correlation: 0.9997734944192254
Beats: ('0914', '0331'), Correlation: 0.9997717486270773
Beats: ('1012', '0732'), Correlation: 0.9997712728056134
Beats: ('0914', '2413'), Correlation: 0.9997710635564401
Beats: ('0822', '1225'), Correlation: 0.9997703622453114
Beats: ('0723', '2413'), Correlation: 0.9997700517491712
Beats: ('0723', '0331'), Correlation: 0.9997693641389525
Beats: ('0431', '0111'), Correlation: 0.999767674223483
Beats: ('0822', '2535'), Correlation: 0.9997654954877769
Beats: ('2532', '1932'), Correlation: 0.999764484924545
Beats: ('2532', '1224'), Correlation: 0.9997623266802659
Beats: ('0914', '1031'), Correlation: 0.9997613754570348
Beats: ('0414', '1432'), Correlation: 0.9997589877236044
Beats: ('1231', '1124'), Correlation: 0.9997578968896192
Beats: ('0822', '1125'), Correlation: 0.9997558141438752
Beats: ('0631', '1215'), Correlation: 0.99975575702672
Beats: ('1012', '0213'), Correlation: 0.9997553538887339
Beats: ('0715', '2534'), Correlation: 0.9997534446329195
Beats: ('0212', '2514'), Correlation: 0.9997534337008778
Beats: ('0834', '0614'), Correlation: 0.9997514221778591
Beats: ('0715', '1221'), Correlation: 0.9997512359999168
Beats: ('0915', '0614'), Correlation: 0.9997507658269598
Beats: ('1821', '2524'), Correlation: 0.9997505851138027
Beats: ('1012', '0333'), Correlation: 0.9997502020925353
Beats: ('1433', '1031'), Correlation: 0.9997478918333118
Beats: ('1231', '0323'), Correlation: 0.9997466870275856
Beats: ('0431', '0711'), Correlation: 0.9997454362805689
Beats: ('1012', '1634'), Correlation: 0.9997454020989898
Beats: ('0431', '1924'), Correlation: 0.9997449503476424
Beats: ('0212', '0532'), Correlation: 0.9997445048969017
Beats: ('0914', '2024'), Correlation: 0.9997386220614024
Beats: ('0834', '1432'), Correlation: 0.9997327172472277
Beats: ('0914', '0814'), Correlation: 0.9997321513176926
Beats: ('0915', '1432'), Correlation: 0.999732036668878
Beats: ('1712', '1732'), Correlation: 0.9997282128894439
Beats: ('0431', '2222'), Correlation: 0.9997262792488956
Beats: ('1433', '2024'), Correlation: 0.9997245189395428
Beats: ('0914', '2512'), Correlation: 0.999722928318662
Beats: ('0834', '1614'), Correlation: 0.999721306544667
Beats: ('1012', '1613'), Correlation: 0.9997202860883554
Beats: ('0631', '0113'), Correlation: 0.9997196646850428
Beats: ('2532', 'false'), Correlation: 0.999719337490619
Beats: ('2532', '1722'), Correlation: 0.9997191518653189
Beats: ('1433', '0814'), Correlation: 0.9997178769957544
Beats: ('0914', '0735'), Correlation: 0.9997170845528449
Beats: ('0715', '0215'), Correlation: 0.9997156108750384
Beats: ('0631', '1655'), Correlation: 0.9997152764632208
Beats: ('1614', '2422'), Correlation: 0.999712663210389
Beats: ('0822', '0835'), Correlation: 0.9997121276566596
Beats: ('1433', '1834'), Correlation: 0.9997095466268605
Beats: ('0822', '1935'), Correlation: 0.9997073302232401
Beats: ('1231', '1631'), Correlation: 0.9997067813032603
Beats: ('0431', '1431'), Correlation: 0.9997060157478772
Beats: ('0631', '1223'), Correlation: 0.9997042540687907
Beats: ('0212', '0621'), Correlation: 0.9997030248502259
Beats: ('1433', '0735'), Correlation: 0.9997024194469294
Beats: ('0915', '1122'), Correlation: 0.9996994356665844
Beats: ('2532', '2233'), Correlation: 0.9996990136485041
Beats: ('0834', '1122'), Correlation: 0.9996987139909717
Beats: ('0431', '0533'), Correlation: 0.9996969878942353
Beats: ('0914', '1834'), Correlation: 0.999694689919232
Beats: ('0921', '2521'), Correlation: 0.9996937472249036
Beats: ('0414', '1614'), Correlation: 0.9996931084369103
Beats: ('1821', '1621'), Correlation: 0.9996921728648848
Beats: ('0212', '0221'), Correlation: 0.9996876329071758
Beats: ('2532', '2533'), Correlation: 0.9996859319198218
Beats: ('0715', '1014'), Correlation: 0.9996834865624551
Beats: ('0822', '1421'), Correlation: 0.9996834109699718
Beats: ('1821', '2534'), Correlation: 0.9996823367201874
Beats: ('0914', '0922'), Correlation: 0.9996819265571902
Beats: ('0631', '2221'), Correlation: 0.999681713587798
Beats: ('0723', '1132'), Correlation: 0.9996815649286924
Beats: ('0414', '0623'), Correlation: 0.9996812211155659
Beats: ('1012', '1032'), Correlation: 0.9996806479935343
Beats: ('1821', '1221'), Correlation: 0.9996798304560565
Beats: ('0822', '0523'), Correlation: 0.9996783569312019
Beats: ('1614', '0621'), Correlation: 0.9996779947235875
Beats: ('0414', '1122'), Correlation: 0.9996694223712208
Beats: ('1433', '0715'), Correlation: 0.9996693885266131
Beats: ('1821', '0734'), Correlation: 0.9996692906541594
Beats: ('1231', '1931'), Correlation: 0.9996680940031585
Beats: ('0212', '2422'), Correlation: 0.999667796211075
Beats: ('0431', '0411'), Correlation: 0.9996676943048497
Beats: ('1821', '0424'), Correlation: 0.9996668880922467
Beats: ('0723', '1614'), Correlation: 0.9996655690383773
Beats: ('2532', '0114'), Correlation: 0.9996605158004293
Beats: ('0822', '1611'), Correlation: 0.9996598414932645
Beats: ('1012', '0334'), Correlation: 0.9996594501634403
Beats: ('0822', '0733'), Correlation: 0.9996583057843985
Beats: ('0414', '1524'), Correlation: 0.9996555480300046
Beats: ('2532', '0831'), Correlation: 0.9996541050921169
Beats: ('0822', '1712'), Correlation: 0.999653870132883
Beats: ('0414', '1132'), Correlation: 0.999653523481061
Beats: ('0723', '0623'), Correlation: 0.9996531648556797
Beats: ('0822', '0511'), Correlation: 0.9996527904849446
Beats: ('0631', '1132'), Correlation: 0.9996494419915051
Beats: ('1614', '1651'), Correlation: 0.9996489168194931
Beats: ('2532', '1733'), Correlation: 0.9996475593936247
Beats: ('0631', '1524'), Correlation: 0.9996473996062825
Beats: ('2532', '0212'), Correlation: 0.9996464762994121
Beats: ('0921', '1232'), Correlation: 0.9996460474126663
Beats: ('1231', '2513'), Correlation: 0.9996436218808428
Beats: ('0914', '1831'), Correlation: 0.999643509021898
Beats: ('0431', '0412'), Correlation: 0.9996431985951508
Beats: ('2532', '0421'), Correlation: 0.9996425466459162
Beats: ('1654', '1624'), Correlation: 0.9996408106679016
Beats: ('1821', '0215'), Correlation: 0.9996395755236136
Beats: ('1821', '2514'), Correlation: 0.9996390260377738
Beats: ('0212', '0714'), Correlation: 0.9996378649560489
Beats: ('1712', '1013'), Correlation: 0.9996359611876701
Beats: ('0921', '2232'), Correlation: 0.9996358963087381
Beats: ('0915', '1235'), Correlation: 0.9996358765647713
Beats: ('0212', '2524'), Correlation: 0.9996355811773943
Beats: ('0834', '1235'), Correlation: 0.9996350822970763
Beats: ('0915', '0124'), Correlation: 0.9996281323402894
Beats: ('0822', '1011'), Correlation: 0.9996279177990625
Beats: ('0915', '0634'), Correlation: 0.9996278234709222
Beats: ('0834', '0124'), Correlation: 0.9996273296768707
Beats: ('0834', '0634'), Correlation: 0.9996270204744726
Beats: ('0431', '0921'), Correlation: 0.9996264294901412
Beats: ('1012', '1651'), Correlation: 0.9996258110522649
Beats: ('0834', '1524'), Correlation: 0.9996242756707558
Beats: ('0915', '1524'), Correlation: 0.9996234688588465
Beats: ('0431', '1811'), Correlation: 0.9996223406658529
Beats: ('0834', '1132'), Correlation: 0.999622161363299
Beats: ('0915', '1132'), Correlation: 0.9996213522861382
Beats: ('0212', '2535'), Correlation: 0.9996181536713339
Beats: ('2532', '1522'), Correlation: 0.9996167801884893
Beats: ('1614', '0334'), Correlation: 0.9996147736845514
Beats: ('2211', '2013'), Correlation: 0.9996142128872112
Beats: ('2532', '1024'), Correlation: 0.9996135972453521
Beats: ('2211', '0815'), Correlation: 0.99961327052732
Beats: ('0715', '1621'), Correlation: 0.9996132485309668
Beats: ('0822', '1933'), Correlation: 0.9996124707072142
Beats: ('0414', '1823'), Correlation: 0.9996112500125443
Beats: ('0431', '1532'), Correlation: 0.9996088272837643
Beats: ('0723', '1012'), Correlation: 0.9996082086599647
Beats: ('0212', '1125'), Correlation: 0.9996058272539868
Beats: ('0914', '2212'), Correlation: 0.9996057234369892
Beats: ('1821', '0914'), Correlation: 0.9996050525056664
Beats: ('1821', '1014'), Correlation: 0.9996035196512775
Beats: ('0822', '1135'), Correlation: 0.9996029549294035
Beats: ('0414', '1235'), Correlation: 0.9996029143739417
Beats: ('0723', '2213'), Correlation: 0.9996010798937193
Beats: ('0834', '0321'), Correlation: 0.9996009378477794
Beats: ('2532', '0232'), Correlation: 0.9996002466077558
Beats: ('0921', '1925'), Correlation: 0.9995967650604954
Beats: ('0414', '0124'), Correlation: 0.9995948290917234
Beats: ('0414', '0634'), Correlation: 0.9995945066937091
Beats: ('0431', '1112'), Correlation: 0.9995920197994036
Beats: ('1614', '1032'), Correlation: 0.9995915258645608
Beats: ('0822', '0532'), Correlation: 0.9995914937528175
Beats: ('1821', '1433'), Correlation: 0.9995877595049374
Beats: ('0715', '0734'), Correlation: 0.9995876502189155
Beats: ('1654', '1713'), Correlation: 0.9995867566330818
Beats: ('0921', '1434'), Correlation: 0.9995866442027912
Beats: ('0715', '0424'), Correlation: 0.9995849680060185
Beats: ('1433', '2223'), Correlation: 0.9995808335426575
Beats: ('2532', '1732'), Correlation: 0.999579109564325
Beats: ('0414', '1012'), Correlation: 0.9995771697784797
Beats: ('0414', '0113'), Correlation: 0.9995758944717095
Beats: ('0431', '1023'), Correlation: 0.9995726765735584
Beats: ('0414', '2213'), Correlation: 0.9995697653194335
Beats: ('1712', 'false'), Correlation: 0.999568082605436
Beats: ('0414', '0321'), Correlation: 0.9995673300027752
Beats: ('0723', '0124'), Correlation: 0.9995632747998859
Beats: ('0914', '2223'), Correlation: 0.9995630239158059
Beats: ('0723', '0634'), Correlation: 0.999562940088296
Beats: ('0723', '1215'), Correlation: 0.9995615329005664
Beats: ('1821', '0221'), Correlation: 0.9995602282563755
Beats: ('0431', '2433'), Correlation: 0.9995580749645113
Beats: ('0723', '0722'), Correlation: 0.9995550128147258
Beats: ('0431', '0923'), Correlation: 0.999554344743159
Beats: ('1433', '1724'), Correlation: 0.9995541723846441
Beats: ('0212', '2534'), Correlation: 0.9995539484923632
Beats: ('0715', '2514'), Correlation: 0.9995539337891028
Beats: ('0431', '1414'), Correlation: 0.9995523762990114
Beats: ('1231', '0311'), Correlation: 0.9995521219926213
Beats: ('0431', '0324'), Correlation: 0.999551265763478
Beats: ('0212', '1221'), Correlation: 0.9995509796397799
Beats: ('0212', '0835'), Correlation: 0.9995508107232557
Beats: ('0631', '2412'), Correlation: 0.9995483526743298
Beats: ('1231', '0932'), Correlation: 0.9995481652084197
Beats: ('0431', '0624'), Correlation: 0.9995459335177469
Beats: ('0212', '1935'), Correlation: 0.9995448231895934
Beats: ('1614', '1613'), Correlation: 0.9995439008522343
Beats: ('0834', '1012'), Correlation: 0.9995425957193654
Beats: ('0431', '1424'), Correlation: 0.999542411669342
Beats: ('1433', '1533'), Correlation: 0.9995422664256244
Beats: ('0834', '0113'), Correlation: 0.9995412693471791
Beats: ('0915', '0113'), Correlation: 0.9995403779210155
Beats: ('0822', '0621'), Correlation: 0.9995394580641628
Beats: ('0914', '1724'), Correlation: 0.9995358110222159
Beats: ('0723', '0321'), Correlation: 0.9995347424647066
Beats: ('0723', '0224'), Correlation: 0.9995344619587455
Beats: ('1821', '2531'), Correlation: 0.999533318628166
Beats: ('0715', '0211'), Correlation: 0.99953286690701
Beats: ('0414', '1215'), Correlation: 0.9995287317767235
Beats: ('0715', '0812'), Correlation: 0.9995285014295257
Beats: ('2532', '0832'), Correlation: 0.999528297532905
Beats: ('1712', '2533'), Correlation: 0.9995268693864512
Beats: ('0723', '0123'), Correlation: 0.9995265459212517
Beats: ('0631', '1432'), Correlation: 0.999524218691464
Beats: ('0914', '1533'), Correlation: 0.9995236640196045
Beats: ('1012', '1214'), Correlation: 0.9995222403432733
Beats: ('0414', '0722'), Correlation: 0.999521973149139
Beats: ('0212', '1421'), Correlation: 0.99951511081311
Beats: ('0431', '0732'), Correlation: 0.9995143267494683
Beats: ('2532', '1821'), Correlation: 0.9995116335618359
Beats: ('2532', '2212'), Correlation: 0.9995108869041633
Beats: ('1231', '1922'), Correlation: 0.99951086942087
Beats: ('2211', '2022'), Correlation: 0.9995102856944811
Beats: ('1012', '0111'), Correlation: 0.9995090897267537
Beats: ('0212', '0523'), Correlation: 0.9995088610543704
Beats: ('0212', '0215'), Correlation: 0.99950352892515
Beats: ('0914', '1024'), Correlation: 0.9995020334130096
Beats: ('1821', '0714'), Correlation: 0.9995015217318589
Beats: ('0414', '0224'), Correlation: 0.9995006816530312
Beats: ('0631', '0614'), Correlation: 0.999498472409055
Beats: ('0914', '1522'), Correlation: 0.9994984061232758
Beats: ('1433', '0413'), Correlation: 0.9994962337610059
Beats: ('0822', '2422'), Correlation: 0.9994958317749232
Beats: ('0915', '1934'), Correlation: 0.9994925149257529
Beats: ('0414', '0123'), Correlation: 0.999492484702678
Beats: ('0834', '1215'), Correlation: 0.9994922693673045
Beats: ('0834', '1934'), Correlation: 0.9994915773584515
Beats: ('0915', '1215'), Correlation: 0.999491331573361
Beats: ('0431', '0213'), Correlation: 0.9994912539494415
Beats: ('0212', '1611'), Correlation: 0.9994860434718633
Beats: ('1231', '1531'), Correlation: 0.9994859044010442
Beats: ('1231', '0122'), Correlation: 0.9994855849624759
Beats: ('0631', '0934'), Correlation: 0.9994845694920337
Beats: ('1231', '0611'), Correlation: 0.9994837239912528
Beats: ('1821', '2424'), Correlation: 0.9994830307622672
Beats: ('1433', '1024'), Correlation: 0.9994826388523043
Beats: ('1433', '1522'), Correlation: 0.9994789417452561
Beats: ('0212', '1712'), Correlation: 0.999478709751559
Beats: ('1821', '2535'), Correlation: 0.9994784416626166
Beats: ('1231', '0524'), Correlation: 0.99947825516911
Beats: ('0212', '0511'), Correlation: 0.9994773850417074
Beats: ('0914', '0413'), Correlation: 0.9994767276907267
Beats: ('1012', '1924'), Correlation: 0.9994763003694469
Beats: ('0822', '1034'), Correlation: 0.9994703087205368
Beats: ('0915', '1913'), Correlation: 0.9994695691714149
Beats: ('0834', '1913'), Correlation: 0.9994686106577305
Beats: ('2532', '1831'), Correlation: 0.999466791948646
Beats: ('0715', '0221'), Correlation: 0.9994667754125053
Beats: ('1821', '1125'), Correlation: 0.999464052670192
Beats: ('0834', '0224'), Correlation: 0.9994631699919307
Beats: ('0915', '0224'), Correlation: 0.9994622057179157
Beats: ('0212', '1014'), Correlation: 0.99946136254122
Beats: ('1821', '2523'), Correlation: 0.9994588027914314
Beats: ('0822', '2524'), Correlation: 0.9994563197824816
Beats: ('0834', '0123'), Correlation: 0.9994546720269185
Beats: ('0414', '1934'), Correlation: 0.9994537315125281
Beats: ('0915', '0123'), Correlation: 0.9994537001561685
Beats: ('1231', '0513'), Correlation: 0.9994530436951187
Beats: ('0715', '1913'), Correlation: 0.9994524120305955
Beats: ('0631', '0823'), Correlation: 0.9994516654519553
Beats: ('1231', '0822'), Correlation: 0.9994505517945149
Beats: ('0212', '1011'), Correlation: 0.9994469686940426
Beats: ('0431', '1613'), Correlation: 0.999441206726332
Beats: ('1231', '0522'), Correlation: 0.9994398953582883
Beats: ('0631', '0613'), Correlation: 0.9994391163042524
Beats: ('1231', '1213'), Correlation: 0.9994382002068958
Beats: ('1821', '0211'), Correlation: 0.9994366892903501
Beats: ('0914', '1923'), Correlation: 0.9994347896771099
Beats: ('1821', '0812'), Correlation: 0.9994318965412893
Beats: ('0414', '1913'), Correlation: 0.999429934860141
Beats: ('0822', '1513'), Correlation: 0.9994297579324504
Beats: ('0715', '1934'), Correlation: 0.9994285869699803
Beats: ('0212', '1933'), Correlation: 0.9994281717357262
Beats: ('1231', '1013'), Correlation: 0.9994280477828298
Beats: ('1654', '0235'), Correlation: 0.9994225223763757
Beats: ('1012', '1431'), Correlation: 0.99942111168029
Beats: ('0723', '1934'), Correlation: 0.9994171892685033
Beats: ('0212', '1135'), Correlation: 0.9994166255437141
Beats: ('2532', '0715'), Correlation: 0.9994133960469842
Beats: ('0914', '2533'), Correlation: 0.9994119260781271
Beats: ('1614', '1225'), Correlation: 0.9994119001751808
Beats: ('1231', '1224'), Correlation: 0.9994103822701424
Beats: ('0431', '0731'), Correlation: 0.9994088624531732
Beats: ('0414', '1022'), Correlation: 0.9994072330575138
Beats: ('2532', '1124'), Correlation: 0.9994034174942029
Beats: ('0715', '0714'), Correlation: 0.9994023190079987
Beats: ('1821', '0835'), Correlation: 0.9994002012543898
Beats: ('1654', '1723'), Correlation: 0.9993997618680639
Beats: ('1012', '1523'), Correlation: 0.9993958374482008
Beats: ('1821', '1935'), Correlation: 0.9993932857154463
Beats: ('0723', '1913'), Correlation: 0.9993926181456031
Beats: ('0431', '0925'), Correlation: 0.9993918971750125
Beats: ('0915', '0812'), Correlation: 0.9993890383732482
Beats: ('0834', '0812'), Correlation: 0.999388009720532
Beats: ('2532', '0323'), Correlation: 0.9993858944752928
Beats: ('0431', '1032'), Correlation: 0.9993857285963897
Beats: ('0631', '1512'), Correlation: 0.9993849181031063
Beats: ('0915', '0211'), Correlation: 0.999384047507861
Beats: ('0822', '1111'), Correlation: 0.999383657149262
Beats: ('0834', '0211'), Correlation: 0.9993830146652796
Beats: ('0212', '2531'), Correlation: 0.9993800150529264
Beats: ('0715', '2535'), Correlation: 0.9993770719253167
Beats: ('1821', '0912'), Correlation: 0.9993728597483236
Beats: ('2532', '0735'), Correlation: 0.9993673748522078
Beats: ('2211', '1654'), Correlation: 0.9993648895348913
Beats: ('0914', 'false'), Correlation: 0.9993639949672715
Beats: ('0715', '1125'), Correlation: 0.9993613561582383
Beats: ('1821', '1421'), Correlation: 0.9993590560453607
Beats: ('2532', '2512'), Correlation: 0.9993585610365543
Beats: ('0822', '2534'), Correlation: 0.9993575280473644
Beats: ('0431', '0334'), Correlation: 0.9993564632876083
Beats: ('0822', '1221'), Correlation: 0.9993539661476493
Beats: ('1821', '0523'), Correlation: 0.999351873905046
Beats: ('0914', '1523'), Correlation: 0.9993493778175002
Beats: ('1821', '1913'), Correlation: 0.9993486551541972
Beats: ('0414', '0812'), Correlation: 0.9993465548296713
Beats: ('2532', '0814'), Correlation: 0.9993443324539041
Beats: ('1231', 'false'), Correlation: 0.999343705177927
Beats: ('0414', '0211'), Correlation: 0.9993413937610289
Beats: ('2532', '2024'), Correlation: 0.9993341080366771
Beats: ('0631', '0711'), Correlation: 0.9993336536052614
Beats: ('0915', '2424'), Correlation: 0.9993335560860521
Beats: ('0834', '2424'), Correlation: 0.9993324817755669
Beats: ('0822', '0725'), Correlation: 0.9993290362579826
Beats: ('1821', '1611'), Correlation: 0.9993257016654232
Beats: ('1821', '1934'), Correlation: 0.99932269443978
Beats: ('0822', '0913'), Correlation: 0.9993226916581401
Beats: ('0212', '2424'), Correlation: 0.9993222516416223
Beats: ('0822', '0225'), Correlation: 0.9993205916782998
Beats: ('2211', '1412'), Correlation: 0.9993174683541831
Beats: ('1821', '1712'), Correlation: 0.9993173056286861
Beats: ('0414', '2523'), Correlation: 0.9993170227857102
Beats: ('1821', '0511'), Correlation: 0.9993157898290156
Beats: ('0921', '0113'), Correlation: 0.9993129859404355
Beats: ('0431', '1651'), Correlation: 0.9993105212021488
Beats: ('1012', '1923'), Correlation: 0.9993076341851227
Beats: ('0431', '1832'), Correlation: 0.9993069768019066
Beats: ('0723', '0211'), Correlation: 0.9993013288212738
Beats: ('0414', '1434'), Correlation: 0.9992991482817704
Beats: ('0715', '0321'), Correlation: 0.999299031009882
Beats: ('0822', '0215'), Correlation: 0.9992972903447267
Beats: ('1231', '0935'), Correlation: 0.9992967986082151
Beats: ('2532', '1031'), Correlation: 0.9992964501305671
Beats: ('1614', '0632'), Correlation: 0.9992931453239148
Beats: ('1231', '2533'), Correlation: 0.9992931240083855
Beats: ('0715', '0835'), Correlation: 0.99929182162857
Beats: ('0431', '0133'), Correlation: 0.9992894385192538
Beats: ('0414', '2424'), Correlation: 0.9992892178056976
Beats: ('2532', '0332'), Correlation: 0.9992888172479698
Beats: ('0431', '0723'), Correlation: 0.9992867015344343
Beats: ('0431', '1655'), Correlation: 0.9992853847081482
Beats: ('0715', '1935'), Correlation: 0.9992843091448499
Beats: ('1614', '0411'), Correlation: 0.9992835896828105
Beats: ('2532', '2515'), Correlation: 0.9992814993868178
Beats: ('1821', '1011'), Correlation: 0.9992810507590648
Beats: ('0822', '2033'), Correlation: 0.9992785123873376
Beats: ('0723', '2523'), Correlation: 0.9992762344003904
Beats: ('0914', '1013'), Correlation: 0.9992752144659446
Beats: ('0915', '2531'), Correlation: 0.9992737155458161
Beats: ('0822', '2411'), Correlation: 0.9992730479166796
Beats: ('0834', '2531'), Correlation: 0.9992725940761743
Beats: ('1654', '1914'), Correlation: 0.9992699962366182
Beats: ('0212', '0211'), Correlation: 0.9992693374905899
Beats: ('0431', '1223'), Correlation: 0.9992679854932882
Beats: ('1712', '1831'), Correlation: 0.9992644700559131
Beats: ('0212', '0812'), Correlation: 0.999263880682815
Beats: ('0715', '0634'), Correlation: 0.999263440704131
Beats: ('0715', '0124'), Correlation: 0.999263006075054
Beats: ('0414', '0222'), Correlation: 0.9992619238119769
Beats: ('0822', '0531'), Correlation: 0.9992602572632936
Beats: ('1821', '1933'), Correlation: 0.9992596417212946
Beats: ('1012', '0413'), Correlation: 0.9992595172521513
Beats: ('0212', '1034'), Correlation: 0.9992578720764065
Beats: ('1821', '1121'), Correlation: 0.9992577415212688
Beats: ('0631', '0533'), Correlation: 0.9992565804431524
Beats: ('0834', '1434'), Correlation: 0.9992548343787131
Beats: ('0723', '0214'), Correlation: 0.9992540477731324
Beats: ('0915', '1434'), Correlation: 0.9992536984361714
Beats: ('2532', '0633'), Correlation: 0.9992516786170043
Beats: ('1231', '0911'), Correlation: 0.9992508669684138
Beats: ('2532', '0632'), Correlation: 0.9992497253143003
Beats: ('0822', '1014'), Correlation: 0.9992472902633711
Beats: ('0715', '1421'), Correlation: 0.9992471737059816
Beats: ('1821', '1135'), Correlation: 0.9992465123048305
Beats: ('0914', '0513'), Correlation: 0.9992464841590675
Beats: ('0414', '0431'), Correlation: 0.9992450308782596
Beats: ('0431', '1222'), Correlation: 0.9992406395882275
Beats: ('0715', '0523'), Correlation: 0.9992393918085034
Beats: ('1012', '1023'), Correlation: 0.9992390314107595
Beats: ('1614', '0533'), Correlation: 0.9992389151272114
Beats: ('1231', '0212'), Correlation: 0.9992345210192541
Beats: ('0431', '2221'), Correlation: 0.9992327646524949
Beats: ('0414', '2232'), Correlation: 0.9992314270568735
Beats: ('1231', '0421'), Correlation: 0.9992287442906643
Beats: ('0414', '2531'), Correlation: 0.9992274615402091
Beats: ('1433', '1214'), Correlation: 0.9992272268756339
Beats: ('1433', '0822'), Correlation: 0.9992256350855211
Beats: ('1433', '0513'), Correlation: 0.9992226707747884
Beats: ('0822', '0713'), Correlation: 0.9992204295885638
Beats: ('0414', '1232'), Correlation: 0.9992165042663708
Beats: ('0914', '0524'), Correlation: 0.9992162478579768
Beats: ('2532', '1915'), Correlation: 0.9992159629547426
Beats: ('2211', '1131'), Correlation: 0.9992135914994053
Beats: ('1012', '1414'), Correlation: 0.9992120226123186
Beats: ('0414', '0214'), Correlation: 0.9992114477231308
Beats: ('0631', '0411'), Correlation: 0.9992110844788518
Beats: ('0715', '1611'), Correlation: 0.9992110616797293
Beats: ('1012', '0324'), Correlation: 0.9992105495214735
Beats: ('0212', '1513'), Correlation: 0.9992100135781968
Beats: ('0914', '0611'), Correlation: 0.9992095134806778
Beats: ('0914', '0122'), Correlation: 0.9992072071358626
Beats: ('0914', '1531'), Correlation: 0.9992068104909725
Beats: ('0921', '1132'), Correlation: 0.9992052833150941
Beats: ('1012', '0624'), Correlation: 0.9992034826839461
Beats: ('0914', '1214'), Correlation: 0.9992031135867266
Beats: ('0921', '1524'), Correlation: 0.9992022100242293
Beats: ('0715', '1712'), Correlation: 0.9992019823073015
Beats: ('0921', '1115'), Correlation: 0.9992017431335088
Beats: ('1012', '1533'), Correlation: 0.9992012726264756
Beats: ('0834', '1433'), Correlation: 0.9992008375390227
Beats: ('0715', '0511'), Correlation: 0.9992003435890521
Beats: ('0431', '0834'), Correlation: 0.9991990642757087
Beats: ('0431', '0915'), Correlation: 0.9991978866239963
Beats: ('1433', '0524'), Correlation: 0.9991919652596976
Beats: ('1231', '1522'), Correlation: 0.9991911103874105
Beats: ('1231', '1024'), Correlation: 0.9991864895238651
Beats: ('1012', '1724'), Correlation: 0.9991853645663928
Beats: ('1433', '0611'), Correlation: 0.9991851276174024
Beats: ('0834', '2232'), Correlation: 0.9991850544201704
Beats: ('0915', '2232'), Correlation: 0.999183866521381
Beats: ('1433', '0122'), Correlation: 0.9991827860083847
Beats: ('1433', '1531'), Correlation: 0.9991823833039395
Beats: ('1821', '0321'), Correlation: 0.9991822347505444
Beats: ('0822', '1511'), Correlation: 0.9991805964333064
Beats: ('0915', '1014'), Correlation: 0.999179720857261
Beats: ('1614', '2512'), Correlation: 0.9991791086955204
Beats: ('0834', '1014'), Correlation: 0.9991785290806031
Beats: ('0834', '0914'), Correlation: 0.9991763192857822
Beats: ('1231', '1033'), Correlation: 0.9991761198691632
Beats: ('0431', '1214'), Correlation: 0.9991722025743047
Beats: ('0834', '1232'), Correlation: 0.9991696903444376
Beats: ('0212', '1913'), Correlation: 0.9991695238429368
Beats: ('1614', '0735'), Correlation: 0.9991690734157653
Beats: ('0915', '1232'), Correlation: 0.999168491308943
Beats: ('0834', '0214'), Correlation: 0.9991644852288937
Beats: ('0915', '0214'), Correlation: 0.9991632824438837
Beats: ('1614', '0711'), Correlation: 0.9991566919631826
Beats: ('0212', '1111'), Correlation: 0.9991559141489691
Beats: ('0414', '1433'), Correlation: 0.999153564836797
Beats: ('0822', '2531'), Correlation: 0.9991516531083048
Beats: ('1012', '2223'), Correlation: 0.9991483624277385
Beats: ('1821', '0634'), Correlation: 0.9991438300212818
Beats: ('1821', '0124'), Correlation: 0.9991433614482602
